TeamYear,Season,Team,W%,HR,BB%,ISO,BABIP_x,AVG,OBP,SLG,wOBA,BIZ,Plays,RZR,HR/9,BABIP_y,GB%,HR/FB
2008_Indians,2008,Indians,0.5,1.0555555555555556,0.08900000000000001,0.162,0.305,0.262,0.339,0.424,0.334,15.197530864197532,12.567901234567902,0.8270000000000001,1.06,0.301,0.447,0.105
2012_Reds,2012,Reds,0.5987654320987654,1.0617283950617284,0.079,0.159,0.29600000000000004,0.251,0.315,0.411,0.314,13.401234567901234,11.228395061728396,0.838,0.94,0.28800000000000003,0.45899999999999996,0.107
2018_Nationals,2018,Nationals,0.5061728395061729,1.1790123456790123,0.1,0.16399999999999998,0.297,0.254,0.335,0.419,0.325,11.722222222222221,9.666666666666666,0.825,1.23,0.287,0.41200000000000003,0.128
2011_Angels,2011,Angels,0.5308641975308642,0.9567901234567902,0.073,0.149,0.28800000000000003,0.253,0.313,0.402,0.313,14.074074074074074,12.037037037037036,0.855,0.87,0.282,0.449,0.08800000000000001
2010_Blue Jays,2010,Blue Jays,0.5246913580246914,1.5864197530864197,0.078,0.206,0.269,0.248,0.312,0.454,0.334,13.895061728395062,11.462962962962964,0.825,0.94,0.297,0.457,0.095
2012_Rays,2012,Rays,0.5555555555555556,1.0802469135802468,0.094,0.155,0.284,0.24,0.317,0.394,0.311,13.006172839506172,10.716049382716049,0.8240000000000001,0.86,0.277,0.479,0.107
2012_Nationals,2012,Nationals,0.6049382716049383,1.1975308641975309,0.077,0.166,0.308,0.261,0.322,0.428,0.324,13.537037037037036,11.308641975308642,0.835,0.79,0.282,0.46299999999999997,0.092
2006_Braves,2006,Braves,0.4876543209876543,1.3703703703703705,0.084,0.184,0.304,0.27,0.337,0.455,0.339,14.802469135802468,12.222222222222221,0.826,1.14,0.3,0.45,0.11599999999999999
2016_Astros,2016,Astros,0.5185185185185185,1.2222222222222223,0.08900000000000001,0.17,0.298,0.247,0.319,0.417,0.317,12.333333333333334,9.808641975308642,0.795,1.11,0.306,0.452,0.126
2010_Braves,2010,Braves,0.5617283950617284,0.8580246913580247,0.10099999999999999,0.14300000000000002,0.301,0.258,0.339,0.401,0.327,13.654320987654321,11.166666666666666,0.818,0.79,0.29,0.499,0.09300000000000001
